,Precio,Localidad,Robo_Personas,Homicidios,Promedio
124,405000000,USAQUEN,5376,29,738350161.5709343
125,1018671944,SUBA,7567,43,553298142.682
126,568000000,CHAPINERO,5578,6,1242553621.6074767
127,446000000,USAQUEN,5376,29,738350161.5709343
128,405000000,USAQUEN,5376,29,738350161.5709343
129,480000000,SUBA,7567,43,553298142.682
130,520000000,CHAPINERO,5578,6,1242553621.6074767
131,870000000,USAQUEN,5376,29,738350161.5709343
132,2200000000,CHAPINERO,5578,6,1242553621.6074767
133,820000000,CHAPINERO,5578,6,1242553621.6074767
134,3800000000,CHAPINERO,5578,6,1242553621.6074767
135,630000000,SUBA,7567,43,553298142.682
136,500000000,CHAPINERO,5578,6,1242553621.6074767
137,1195000000,CHAPINERO,5578,6,1242553621.6074767
138,390000000,USAQUEN,5376,29,738350161.5709343
139,2350000000,CHAPINERO,5578,6,1242553621.6074767
140,580000000,USAQUEN,5376,29,738350161.5709343
141,513787000,USAQUEN,5376,29,738350161.5709343
142,800000000,USAQUEN,5376,29,738350161.5709343
143,650000000,SUBA,7567,43,553298142.682
144,1500000000,BARRIOS UNIDOS,2975,10,1026022394.9523809
145,7250000000,USAQUEN,5376,29,738350161.5709343
146,597000000,SUBA,7567,43,553298142.682
147,1500000000,CHAPINERO,5578,6,1242553621.6074767
148,2350000000,CHAPINERO,5578,6,1242553621.6074767
149,400000000,USAQUEN,5376,29,738350161.5709343
150,390000000,SUBA,7567,43,553298142.682
151,270000000,SUBA,7567,43,553298142.682
152,460000000,USAQUEN,5376,29,738350161.5709343
153,1349000000,USAQUEN,5376,29,738350161.5709343
154,335740000,BARRIOS UNIDOS,2975,10,1026022394.9523809
155,1250000000,SUBA,7567,43,553298142.682
156,350000000,USAQUEN,5376,29,738350161.5709343
157,297000000,USAQUEN,5376,29,738350161.5709343
158,420000000,SUBA,7567,43,553298142.682
159,630000000,SUBA,7567,43,553298142.682
160,619797000,SUBA,7567,43,553298142.682
161,330000000,USAQUEN,5376,29,738350161.5709343
162,550000000,SUBA,7567,43,553298142.682
163,310000000,USAQUEN,5376,29,738350161.5709343
164,315000000,USAQUEN,5376,29,738350161.5709343
165,780000000,USAQUEN,5376,29,738350161.5709343
166,850000000,CHAPINERO,5578,6,1242553621.6074767
167,950000000,CHAPINERO,5578,6,1242553621.6074767
168,620000000,USAQUEN,5376,29,738350161.5709343
169,450000000,USAQUEN,5376,29,738350161.5709343
170,423500000,USAQUEN,5376,29,738350161.5709343
171,1600000000,CHAPINERO,5578,6,1242553621.6074767
172,475000000,USAQUEN,5376,29,738350161.5709343
173,850000000,USAQUEN,5376,29,738350161.5709343
174,240000000,USAQUEN,5376,29,738350161.5709343
175,185000000,SUBA,7567,43,553298142.682
176,820000000,SUBA,7567,43,553298142.682
177,320000000,USAQUEN,5376,29,738350161.5709343
178,160000000,USAQUEN,5376,29,738350161.5709343
179,380000000,USAQUEN,5376,29,738350161.5709343
180,490000000,USAQUEN,5376,29,738350161.5709343
181,400000000,USAQUEN,5376,29,738350161.5709343
182,3345000000,CHAPINERO,5578,6,1242553621.6074767
183,400000000,CHAPINERO,5578,6,1242553621.6074767
184,970000000,USAQUEN,5376,29,738350161.5709343
185,860000000,USAQUEN,5376,29,738350161.5709343
186,310000000,USAQUEN,5376,29,738350161.5709343
187,720000000,USAQUEN,5376,29,738350161.5709343
188,250000000,SUBA,7567,43,553298142.682
189,1500000000,CHAPINERO,5578,6,1242553621.6074767
190,348700350,CHAPINERO,5578,6,1242553621.6074767
191,850000000,SUBA,7567,43,553298142.682
192,2300000000,USAQUEN,5376,29,738350161.5709343
193,340000000,USAQUEN,5376,29,738350161.5709343
194,450000000,USAQUEN,5376,29,738350161.5709343
195,625000000,SUBA,7567,43,553298142.682
196,410000000,USAQUEN,5376,29,738350161.5709343
197,1200000000,CHAPINERO,5578,6,1242553621.6074767
198,420650600,SUBA,7567,43,553298142.682
199,439400000,USAQUEN,5376,29,738350161.5709343
200,180000000,BARRIOS UNIDOS,2975,10,1026022394.9523809
201,420000000,SUBA,7567,43,553298142.682
202,120000000,USAQUEN,5376,29,738350161.5709343
203,460000000,SUBA,7567,43,553298142.682
204,850000000,SUBA,7567,43,553298142.682
205,580000000,SUBA,7567,43,553298142.682
206,483400000,SUBA,7567,43,553298142.682
207,320000000,SUBA,7567,43,553298142.682
208,270000000,USAQUEN,5376,29,738350161.5709343
209,459000000,USAQUEN,5376,29,738350161.5709343
210,810000000,USAQUEN,5376,29,738350161.5709343
211,520000000,USAQUEN,5376,29,738350161.5709343
212,1460000000,USAQUEN,5376,29,738350161.5709343
213,240000000,USAQUEN,5376,29,738350161.5709343
214,1700000000,SUBA,7567,43,553298142.682
215,3900000000,USAQUEN,5376,29,738350161.5709343
216,860000000,SUBA,7567,43,553298142.682
217,729000000,USAQUEN,5376,29,738350161.5709343
218,390000000,USAQUEN,5376,29,738350161.5709343
219,270000000,USAQUEN,5376,29,738350161.5709343
220,585000000,SUBA,7567,43,553298142.682
221,1100000000,SUBA,7567,43,553298142.682
222,650000000,CHAPINERO,5578,6,1242553621.6074767
223,445000000,USAQUEN,5376,29,738350161.5709343
224,585000000,SUBA,7567,43,553298142.682
225,50000000,USAQUEN,5376,29,738350161.5709343
226,253000000,SUBA,7567,43,553298142.682
227,240000000,USAQUEN,5376,29,738350161.5709343
228,165000000,SUBA,7567,43,553298142.682
229,35000000,USAQUEN,5376,29,738350161.5709343
230,1100000000,SUBA,7567,43,553298142.682
231,35000000,USAQUEN,5376,29,738350161.5709343
232,347000000,SUBA,7567,43,553298142.682
233,205000000,USAQUEN,5376,29,738350161.5709343
234,1550000000,CHAPINERO,5578,6,1242553621.6074767
235,280000000,SUBA,7567,43,553298142.682
236,260000000,USAQUEN,5376,29,738350161.5709343
237,1790000000,USAQUEN,5376,29,738350161.5709343
238,240000000,SUBA,7567,43,553298142.682
239,600000000,SUBA,7567,43,553298142.682
240,400000000,SUBA,7567,43,553298142.682
241,460000000,USAQUEN,5376,29,738350161.5709343
242,148000000,USAQUEN,5376,29,738350161.5709343
243,440000000,SUBA,7567,43,553298142.682
244,775000000,CHAPINERO,5578,6,1242553621.6074767
245,490000000,USAQUEN,5376,29,738350161.5709343
246,1400000000,USAQUEN,5376,29,738350161.5709343
247,780000000,USAQUEN,5376,29,738350161.5709343
248,410000000,USAQUEN,5376,29,738350161.5709343
249,900000000,CHAPINERO,5578,6,1242553621.6074767
